id,title,author,src
video053,Maximum periprostatic anatomy preserving-robotic prostatectomy (MPAP-RALP): Surgical technique,"Yifan Chang, M.D.",http://dg1fmc8qbela5.cloudfront.net/video053.mp4
video054,Miguel Ramirez Backhaus - Laparoscopic Prostatectomy with ICG,Fondazione Vincenzo Pansadoro,http://dg1fmc8qbela5.cloudfront.net/video054.mp4
video055,"Narrated, Full length Robotic Prostatectomy by Dr Abaza w Airseal Ultralow Pneumo of 6mmHg and ROSI",Robotic Urologic Surgery with Dr. Ronney Abaza,http://dg1fmc8qbela5.cloudfront.net/video055.mp4
video056,Nerve Sparing Robot Assisted Radical Prostatectomy - Full Case,IMSRU,http://dg1fmc8qbela5.cloudfront.net/video056.mp4
video057,NEW Full-length unedited SP Robotic Prostatectomy with PLND by Dr. Ronney Abaza,Robotic Urologic Surgery with Dr. Ronney Abaza,http://dg1fmc8qbela5.cloudfront.net/video057.mp4
video058,New Robotic-Assisted Prostatectomy Technique- February 2016,AdventHealth Global Robotics Institute,http://dg1fmc8qbela5.cloudfront.net/video058.mp4
video059,Non Nerve Sparing Robotic Prostatectomy (Posterior Approach) by Dr. K. Ramesh,Chennai Urology - Dr. K. Ramesh | Urologist | Robotic Surgeon,http://dg1fmc8qbela5.cloudfront.net/video059.mp4
video060,OPEN Radical cystectomy /cystoprostatectomy,Uro-Oncology Surgical techniques by Dr Sudhir Rawal,http://dg1fmc8qbela5.cloudfront.net/video060.mp4
video061,Open Radical Retropubic Prostatectomy,surgeryinmotion,http://dg1fmc8qbela5.cloudfront.net/video061.mp4
video062,Pelvic lymph node dissection during Robotic radical prostatectomy | Full step | Dr Lucas Burttet,Dr. Lucas Burttet - Urologia / Cirurgia Robótica,http://dg1fmc8qbela5.cloudfront.net/video062.mp4
